02/22/20 06:07:27,63.5,44.9%,3.37%,6.97%,5.17%
02/22/20 06:10:11,63.5,44.9%,3.37%,6.97%,5.17%
02/22/20 06:10:13,63.5,44.8%,3.37%,6.74%,5.17%
02/22/20 06:12:40,63.5,44.8%,3.37%,6.97%,5.17%
02/22/20 06:14:50,63.5,44.8%,3.60%,6.74%,5.17%
02/22/20 06:16:53,63.5,44.8%,3.37%,6.74%,5.17%
02/22/20 06:18:47,63.5,44.6%,3.60%,6.74%,5.17%
02/22/20 06:19:06,63.5,44.8%,3.37%,6.74%,5.17%
02/22/20 06:20:45,63.5,44.7%,3.60%,6.74%,5.17%
02/22/20 06:23:14,63.7,44.9%,3.37%,6.74%,5.17%
02/22/20 06:32:26,63.7,44.9%,3.37%,6.74%,5.17%
02/22/20 06:34:44,63.7,44.8%,3.37%,6.97%,5.17%
02/22/20 06:35:23,63.7,44.8%,3.37%,6.74%,5.17%
02/22/20 06:38:58,63.7,44.8%,3.37%,6.74%,5.17%
02/22/20 06:43:03,63.7,44.7%,3.37%,6.74%,5.17%
02/22/20 06:44:29,63.7,44.7%,3.37%,6.97%,5.17%
02/22/20 06:45:41,63.7,44.7%,3.37%,6.74%,5.17%
02/22/20 06:47:25,63.7,44.7%,3.37%,6.74%,5.17%
02/22/20 06:49:01,63.7,44.8%,3.37%,6.97%,5.17%
02/22/20 06:49:11,63.7,44.8%,3.37%,6.74%,5.17%
02/22/20 06:49:14,63.7,44.8%,3.37%,6.74%,5.17%
